Date,Open,High,Low,Volume,Adj Close,Close
2019-03-01,39.067501,39.537498,38.48,35718800,38.846874,39.112499
2009-12-31,4.6775,4.7375,4.665,70034000,4.2838,4.67
2018-12-26,32.235001,33.285,31.115,69510000,33.014996,33.275002
2015-10-22,6.9325,7.1225,6.9225,30688400,6.904808,7.1
2007-06-14,6.166667,6.328333,6.158333,50854800,5.783591,6.305
2012-04-23,3.29,3.3225,3.2275,70624400,3.033977,3.3075
2014-07-09,4.6775,4.7975,4.6425,38766800,4.548254,4.7775
2001-12-13,5.283333,5.350833,5.213333,88140000,4.801314,5.234167
2000-07-27,2.291667,2.322917,2.166667,33156000,2.016154,2.197917
2000-10-04,3.067708,3.166667,3.026042,41956800,2.857013,3.114583
2009-10-09,3.4775,3.5475,3.4725,61854000,3.249543,3.5425
2010-05-17,3.245,3.2875,3.145,85606000,2.978939,3.2475
2022-03-17,241.199997,248.419998,239.059998,47194100,247.349426,247.660004
2024-02-09,705.330017,721.849976,702.119995,43663700,721.296204,721.330017
2002-02-27,4.6875,4.7075,4.416667,172322400,4.062885,4.429167
2016-02-03,7.07,7.1125,6.8875,32677200,6.882216,7.05
2008-09-18,2.53,2.855,2.525,161106000,2.497355,2.7225
2001-07-30,3.379167,3.392917,3.258333,58228800,3.022128,3.294583
2014-12-09,5.1675,5.195,5.09,23944800,4.97662,5.1825
2020-11-27,133.75,134.074997,131.705002,16727600,132.269012,132.612503
2012-02-24,3.99,3.995,3.93,36666800,3.62105,3.9475
2008-10-10,1.58,1.8325,1.57,120025200,1.561707,1.7025
2014-03-18,4.4725,4.59,4.4525,29390400,4.321289,4.56
2003-04-07,1.190833,1.2,1.116667,67125600,1.034258,1.1275
2005-02-25,2.3725,2.415833,2.346667,52513200,2.204583,2.403333
2007-03-08,5.036667,5.193333,5.033333,77062200,4.711876,5.136667
2020-03-19,50.490002,54.182499,48.3475,76551200,53.064491,53.2425
2010-02-24,4.0875,4.1775,4.075,44586800,3.795338,4.1375
2000-08-01,2.5,2.520833,2.432292,35061600,2.247869,2.450521
2017-05-16,34.095001,34.360001,33.34,112070000,33.752033,34.202499
2001-03-30,2.859375,2.914063,2.6875,142317600,2.481375,2.705078
2015-02-17,5.5675,5.6225,5.5325,20334000,5.372733,5.595
2018-03-21,62.330002,63.0,61.8325,43868800,61.521084,62.139999
2006-11-29,6.05,6.156667,6.026667,57979200,5.580255,6.083333
2016-05-16,10.1675,10.7,10.135,97303200,10.333993,10.5475
2002-05-20,3.236667,3.320833,3.221667,95341200,3.026333,3.299167
2011-01-20,5.5475,5.64,5.4475,111140800,5.143772,5.6075
2021-08-25,217.369995,224.699997,217.220001,34770100,221.747406,222.130005
2022-08-22,174.899994,175.580002,169.660004,40959300,170.162354,170.339996
2008-12-23,2.0175,2.06,1.9475,37745200,1.813965,1.9775
2006-12-15,6.181667,6.25,6.143333,74609400,5.733137,6.25
2017-04-10,25.09,25.157499,24.4,75633200,24.120571,24.442499
2001-10-26,4.080833,4.203333,3.791667,109712400,3.500272,3.815833
2015-04-24,5.5525,5.555,5.445,24096000,5.309074,5.5075
2019-01-09,35.474998,36.122501,34.965,61726000,35.366474,35.645
2003-10-07,1.3875,1.4,1.368333,51058800,1.284223,1.4
2001-05-11,3.332917,3.354167,3.189167,92121600,2.986583,3.255833
2018-05-31,62.924999,63.799999,62.817501,49386800,62.458157,63.047501
2013-04-08,3.1175,3.1175,3.05,32666000,2.886508,3.1075
