Date,Open,High,Low,Volume,Adj Close,Close
2008-01-02,8.53,8.5625,8.14,48396400,7.570036,8.2525
2014-04-02,4.6625,4.6725,4.6125,23994800,4.389995,4.6325
2017-01-06,25.7125,26.0625,25.299999,82285600,25.403461,25.775
2001-01-30,2.161458,2.220052,2.119792,24372000,1.994655,2.174479
2008-09-02,3.2125,3.24,3.0375,69392800,2.825291,3.08
2012-04-20,3.435,3.445,3.34,50959200,3.070668,3.3475
2011-10-18,3.715,3.88,3.6925,59091600,3.549959,3.87
2011-07-07,3.9375,3.9575,3.8625,98613600,3.607291,3.9325
2006-11-20,5.978333,6.143333,5.933333,60863400,5.604716,6.11
2009-10-27,3.23,3.2775,3.1025,59183600,2.875742,3.135
2000-06-28,3.03125,3.145833,2.770833,58660800,2.618134,2.854167
2007-11-09,8.6375,8.7,8.1625,87105600,7.650301,8.34
2021-04-20,153.232498,154.970001,149.630005,33413200,151.416519,151.712494
2006-04-13,4.966667,5.023333,4.913333,73836000,4.525358,4.933333
2024-02-08,700.73999,707.940002,694.549988,41442200,696.377319,696.409973
2018-01-26,59.529999,60.834999,59.400002,51635600,60.189209,60.8325
2016-08-03,13.9925,14.075,13.915,29982800,13.798882,14.0475
2023-12-19,494.23999,497.0,488.950012,46444400,496.016754,496.040009
2012-03-23,3.6,3.6475,3.575,31545600,3.336686,3.6375
2007-12-10,8.4975,8.6625,8.4725,33636000,7.854401,8.5625
2013-06-24,3.5525,3.5975,3.4775,58077200,3.295617,3.53
2003-08-13,1.395,1.420833,1.36,69355200,1.282694,1.398333
2009-07-27,3.21,3.3025,3.18,67748400,2.985819,3.255
2023-07-06,418.440002,421.790009,413.459991,30358200,420.938568,421.029999
2016-04-20,9.0625,9.1675,9.0525,20017200,8.928039,9.1125
2012-01-24,3.6275,3.75,3.625,73092000,3.426123,3.735
2008-03-14,4.95,4.955,4.545,115497200,4.201244,4.58
2015-04-10,5.6375,5.6925,5.6175,25872800,5.484998,5.69
2005-02-08,2.11,2.178333,2.103333,45577200,1.966849,2.144167
2001-11-05,3.999167,4.108333,3.92,93345600,3.618757,3.945
2006-07-13,2.991667,3.066667,2.945,54058200,2.715214,2.96
2004-04-16,2.025833,2.026667,1.963333,65486400,1.804791,1.9675
2015-11-19,7.785,7.8575,7.7225,25407200,7.594844,7.78
2002-05-10,2.930833,2.941667,2.625,132154800,2.436966,2.656667
2010-08-16,2.315,2.3625,2.2575,81400800,2.098328,2.2875
2021-10-22,228.229996,231.300003,225.610001,24938400,226.908554,227.259995
2009-11-23,3.2725,3.3325,3.235,39092400,2.981231,3.25
2021-09-02,225.179993,225.929993,222.949997,18783400,223.613693,223.960007
2004-06-22,1.626667,1.670833,1.615833,43030800,1.525779,1.663333
2001-04-20,3.45375,3.749583,3.3625,177384000,3.323691,3.623333
2009-04-23,2.865,2.89,2.705,75395200,2.561566,2.7925
2004-06-16,1.699167,1.71,1.670833,25257600,1.538774,1.6775
2014-07-17,4.7825,4.875,4.7825,32483200,4.593476,4.825
